이코복스커피스튜디오 서여의도점, 서울 영등포구 여의도동 13-25
나카산, 서울 영등포구 당산동5가 7-13
커파, 강남 샐러드 샌드위치 맛집, 서울 서초구 반포동 739-9
누리달, 서울 송파구 송파동 15-5
몽, 서울 성동구 성수동2가 315-61
요거트아이스크림의정석 경희대점, 서울 동대문구 회기동 1-5
커피더알, 서울 관악구 신림동 1531-1
얀앤욘, 서울 마포구 대흥동 20-10
빽다방 KBS본관점, 서울 영등포구 여의도동 17
페블, 서울 강남구 청담동 53-3
퍼스트펭귄카페, 서울 마포구 서교동 373-3
안다즈 서울강남 아츠, 서울 강남구 신사동 603-1
파크, 서울 종로구 낙원동 92
정원에서, 서울 종로구 동숭동 25-25
컴포즈커피 광진긴고랑로점, 서울 광진구 중곡동 46-18
파이브센스, 서울 성동구 성수동2가 281-3
커피101, 서울 마포구 서교동 332-5
에브리씽, 서울 성북구 장위동 219-204
악어커피, 서울 금천구 가산동 50-3
고품격커피공장 교대사거리점, 서울 서초구 서초동 1597-2
카카오리코, 서울 동작구 신대방동 685-5
더코드 회기점, 서울 동대문구 회기동 42-43
쿠키쿠코, 서울 동대문구 제기동 147-53
연희재, 서울 종로구 청진동 146
아토커피 노원점, 서울 노원구 상계동 184-20
달마이어, 서울 구로구 신도림동 692
베리타스드림 상명대중앙교수회관점, 서울 종로구 홍지동 7-1
매머드익스프레스 동양미래대점, 서울 구로구 고척동 76-88
헤세드, 서울 관악구 남현동 1079-46
할리스 난곡사거리점, 서울 관악구 신림동 526-13
데이롱카페 서초자이점, 서울 서초구 서초동 1442-2
카페에클, 서울 양천구 신월동 167-2
라이온프라이드, 서울 용산구 이태원동 130-10
칼디카파, 서울 성북구 동선동3가 24-2
홍대 갤러리카페 모임, 서울 마포구 서교동 335-26
오아시스, 서울 강서구 마곡동 812
사푼사푼 서울 대치본점, 서울 강남구 대치동 1002
오프레스트 로스터리, 서울 강서구 등촌동 634-2
달리는커피 서울이촌점, 서울 용산구 이촌동 209-22
올라디저트, 서울 마포구 서교동 332-27
후피, 서울 성동구 성수동2가 573-7
블루샥 상암누리꿈점, 서울 마포구 상암동 1605
서계모음집, 서울 용산구 서계동 33-25
카페세마, 서울 노원구 중계동 508
탐앤탐스 서울고사거리점, 서울 서초구 서초동 1490-30
카페도트, 서울 양천구 목동 736-15
부니네다정, 서울 은평구 녹번동 156-35
케이크인더박스, 서울 송파구 석촌동 212-6
쁘띠카페미술관, 서울 양천구 신정동 276
샤론카페&책향기도서관, 서울 구로구 오류동 31-189
푸른, 서울 종로구 관철동 45-2
스타벅스 양재강남빌딩R점, 서울 강남구 도곡동 956
킨더커피, 서울 송파구 잠실동 44-3
커피마마퀸 서울여자간호대점, 서울 서대문구 홍제동 279-74
페어리쿠키 구수동점, 서울 마포구 구수동 68-8
제이커피, 서울 강남구 논현동 5
커피나무, 서울 강남구 삼성동 42-3
컴포즈커피 광나루역1호점, 서울 광진구 광장동 580
쎄컨드플로어, 서울 강남구 역삼동 707-34
더 레퍼런스 룸, 서울 송파구 송파동 47-9
바나프레소 종로구청점, 서울 종로구 청진동 201-1
미고, 서울 강동구 둔촌동 89
우드사이드커피, 서울 은평구 신사동 339-13
루시오 노원점, 서울 노원구 상계동 326-8
심리카페닷컴, 서울 마포구 동교동 164-33
카페마루공방, 서울 구로구 구로동 448
커피브라더 역촌점, 서울 은평구 갈현동 468-5
공감7080라이브, 서울 금천구 시흥동 837-37
커피뱅가드, 서울 동대문구 전농동 222-5
카페브루노, 서울 강동구 천호동 447-17
바스크, 서울 성북구 길음동 1171-14
커피에반하다 화곡4동점 스마트 무인카페, 서울 강서구 화곡동 469-12
카페플라워 한신대점, 서울 강북구 수유동 455-66
포트캔커피 홍제역점, 서울 서대문구 홍제동 330-60
달리는커피 서울망원점, 서울 마포구 망원동 476-2
익선힐링타로포유, 서울 종로구 익선동 161-2
투썸플레이스 송파헬리오시티점, 서울 송파구 석촌동 255-1
컴포즈커피 약수더시티점, 서울 중구 신당동 857
스타벅스 상암YTN점, 서울 마포구 상암동 1607
황태자, 서울 중구 남대문로5가 63-8
메가MGC커피 강일리버파크점, 서울 강동구 강일동 675-4
카페폭포, 서울 서대문구 홍은동 429
정경, 서울 양천구 신정동 318-1
스페셜티 스튜디오 당산점, 서울 영등포구 당산동6가 343-1
로잉커피, 서울 마포구 합정동 441-21
커피공장2010, 서울 도봉구 쌍문동 423-99
호야커피, 서울 마포구 도화동 565
페어몬트 앰배서더 서울 더 아트리움 라운지, 서울 영등포구 여의도동 22
엠아이스위트, 서울 서대문구 창천동 5-21
매머드익스프레스 여의도점, 서울 영등포구 여의도동 14-35
컴포즈커피 굽은다리점, 서울 강동구 천호동 45-7
홍콩티 본점, 서울 중구 인현동2가 197
은다방, 서울 구로구 신도림동 293-118
먹거리공작소 이것저것, 서울 서초구 양재동 344
카페몽당, 서울 광진구 광장동 350-4
카페랑, 서울 송파구 가락동 198
